"","entidad","sexo","edad","nivel","p4","p7_3"
"1408",20,1,43,7,25,6000
"1413",20,1,30,7,8,1300
"1418",20,1,20,4,2,100
"1428",20,1,44,9,4,2000
"1429",20,2,41,7,2,500
"1437",20,2,43,8,2,200
"1443",20,2,70,2,1,60
"1448",21,2,59,6,2,350
"1452",21,2,67,3,1,1200
"1475",21,1,54,4,1,350
"1478",21,2,20,7,2,550
"1479",21,2,54,7,4,700
"1480",21,1,73,7,2,250
"1481",21,1,30,3,5,600
"1483",21,1,20,4,1,200
"1491",21,2,25,7,1,220
"1512",22,2,63,6,4,120
"1513",22,2,50,7,3,1000
"1519",22,2,46,6,1,350
"1522",22,2,18,4,1,80
"1525",22,2,53,2,1,200
"1531",22,1,31,7,2,400
"1536",22,1,30,7,2,800
"1538",22,1,35,7,1,300
"1539",22,2,43,7,2,1000
"1545",23,2,34,6,3,150
"1547",23,1,27,7,4,2500
"1556",23,2,22,3,2,300
"1561",23,1,35,4,5,1500
"1562",23,2,33,7,4,1500
"1563",23,2,31,7,4,500
"1565",23,1,78,2,2,360
"1571",23,2,45,7,5,1500
"1574",23,2,33,4,1,300
"1576",23,2,41,8,3,1000
"1577",23,2,27,7,10,5000
"1579",23,1,61,2,1,250
"1581",24,2,47,7,5,1500
"1588",24,1,25,4,4,500
"1589",24,1,30,8,5,1500
"1591",24,1,23,7,3,1000
"1598",24,1,60,6,4,1900
"1601",24,1,23,7,1,800
"1604",24,1,34,7,4,1200
"1607",24,2,31,7,3,1200
"1611",24,1,23,7,2,300
"1612",24,2,20,4,5,900
"1616",24,1,69,7,12,3600
"1644",25,2,19,4,10,4000
"1665",26,2,31,7,2,600
"1667",26,2,45,7,3,1000
"1671",26,1,48,3,5,750
"1672",26,2,31,7,2,750
"1680",26,2,46,6,7,100
"1681",26,2,41,7,3,600
"1684",26,2,18,4,2,200
"1694",26,2,36,7,3,500
"1696",26,1,29,7,3,1500
"1698",26,1,43,7,3,900
"1706",27,2,39,4,1,300
"1708",27,2,21,4,1,800
"1710",27,2,31,4,1,230
"1712",27,1,44,8,6,1500
"1713",27,1,67,9,1,350
"1714",27,1,45,7,3,600
"1716",27,2,70,5,1,500
"1717",27,1,27,4,1,200
"1723",27,2,55,3,3,500
"1727",27,2,48,8,1,120
"1728",27,2,39,7,5,1000
"1733",27,2,24,7,2,300
"1742",28,1,20,7,2,500
"1757",28,2,62,4,1,70
"1776",28,2,25,7,3,3500
"1782",29,2,32,7,20,300
"1795",29,2,66,5,2,800
"1799",29,2,27,4,2,200
"1800",29,2,29,7,1,100
"1809",29,1,39,7,1,850
"1813",29,1,70,9,15,3000
"1814",29,1,56,7,10,1500
"1819",30,2,50,7,1,200
"1828",30,2,69,7,3,800
"1841",30,2,43,7,3,1200
"1842",30,2,47,7,3,700
"1850",30,2,27,3,4,150
"1853",30,2,70,3,1,300
"1860",30,2,26,7,5,2000
"1864",31,2,64,7,4,750
"1913",32,2,47,3,1,80
"1923",32,2,43,6,2,400
"1937",32,2,66,7,1,300
